Freq	to_id	from_id
31	to_72	from_32
31	to_72	from_64
31	to_72	from_4
35	to_73	from_16
35	to_73	from_4
35	to_73	from_1
35	to_73	from_18
35	to_73	from_11
35	to_73	from_7
35	to_73	from_2
35	to_73	from_3
35	to_73	from_67
35	to_73	from_20
35	to_73	from_6
35	to_73	from_5
35	to_73	from_8
38	to_74	from_7
38	to_74	from_3
38	to_74	from_37
38	to_74	from_9
38	to_74	from_12
38	to_74	from_55
38	to_74	from_77
38	to_74	from_25
34	to_75	from_4
34	to_75	from_9
34	to_75	from_43
34	to_75	from_17
34	to_75	from_3
34	to_75	from_37
34	to_75	from_32
34	to_75	from_13
48	to_76	from_13
48	to_76	from_4
48	to_76	from_2
48	to_76	from_7
48	to_76	from_3
48	to_76	from_15
48	to_76	from_9
48	to_76	from_16
48	to_76	from_5
48	to_76	from_28
48	to_76	from_11
48	to_76	from_10
48	to_76	from_29
39	to_77	from_3
39	to_77	from_12
39	to_77	from_34
39	to_77	from_51
39	to_77	from_10
39	to_77	from_28
39	to_77	from_15
39	to_77	from_6
71	to_78	from_13
71	to_78	from_7
71	to_78	from_38
71	to_78	from_69
71	to_78	from_34
71	to_78	from_3
71	to_78	from_37
71	to_78	from_78
71	to_78	from_32
71	to_78	from_79
71	to_78	from_12
71	to_78	from_11
71	to_78	from_25
71	to_78	from_16
71	to_78	from_40
71	to_78	from_26
71	to_78	from_77
71	to_78	from_45
71	to_78	from_72
71	to_78	from_14
71	to_78	from_55
71	to_78	from_20
196	to_79	from_69
196	to_79	from_80
196	to_79	from_32
196	to_79	from_14
196	to_79	from_26
196	to_79	from_6
196	to_79	from_55
196	to_79	from_56
196	to_79	from_13
196	to_79	from_64
196	to_79	from_35
196	to_79	from_4
196	to_79	from_36
196	to_79	from_37
196	to_79	from_45
196	to_79	from_11
196	to_79	from_66
196	to_79	from_34
196	to_79	from_20
196	to_79	from_79
196	to_79	from_42
196	to_79	from_25
196	to_79	from_41
196	to_79	from_7
196	to_79	from_39
168	to_80	from_72
168	to_80	from_69
168	to_80	from_35
168	to_80	from_41
168	to_80	from_32
168	to_80	from_42
168	to_80	from_14
168	to_80	from_26
168	to_80	from_34
168	to_80	from_37
168	to_80	from_80
168	to_80	from_38
168	to_80	from_6
168	to_80	from_11
168	to_80	from_20
168	to_80	from_39
168	to_80	from_17
168	to_80	from_61
168	to_80	from_3
168	to_80	from_50
168	to_80	from_81
168	to_80	from_13
52	to_81	from_55
52	to_81	from_79
52	to_81	from_70
52	to_81	from_26
52	to_81	from_37
52	to_81	from_6
52	to_81	from_17
52	to_81	from_43
52	to_81	from_40
52	to_81	from_36
52	to_81	from_72
52	to_81	from_14
52	to_81	from_10
53	to_82	from_15
53	to_82	from_2
53	to_82	from_16
53	to_82	from_67
53	to_82	from_11
53	to_82	from_10
53	to_82	from_6
53	to_82	from_7
53	to_82	from_32
53	to_82	from_4
53	to_82	from_13
53	to_82	from_3
53	to_82	from_28
53	to_82	from_44
53	to_82	from_29
102	to_83	from_17
102	to_83	from_28
102	to_83	from_32
102	to_83	from_37
102	to_83	from_11
102	to_83	from_26
102	to_83	from_79
102	to_83	from_69
102	to_83	from_20
102	to_83	from_55
102	to_83	from_7
102	to_83	from_6
102	to_83	from_49
102	to_83	from_62
102	to_83	from_46
102	to_83	from_34
102	to_83	from_60
102	to_83	from_52
102	to_83	from_66
102	to_83	from_45
102	to_83	from_50
102	to_83	from_65
102	to_83	from_67
102	to_83	from_10
47	to_84	from_17
47	to_84	from_33
47	to_84	from_35
47	to_84	from_13
47	to_84	from_4
47	to_84	from_3
47	to_84	from_6
47	to_84	from_39
34	to_85	from_82
34	to_85	from_83
34	to_85	from_84
40	to_86	from_85
40	to_86	from_83
37	to_87	from_4
37	to_87	from_14
37	to_87	from_35
37	to_87	from_38
37	to_87	from_34
37	to_87	from_26
37	to_87	from_6
37	to_87	from_32
61	to_88	from_36
61	to_88	from_37
61	to_88	from_55
61	to_88	from_68
61	to_88	from_45
61	to_88	from_70
61	to_88	from_86
61	to_88	from_26
61	to_88	from_38
61	to_88	from_14
61	to_88	from_11
61	to_88	from_39
61	to_88	from_71
61	to_88	from_25
32	to_89	from_16
32	to_89	from_18
32	to_89	from_36
32	to_89	from_11
32	to_89	from_38
32	to_89	from_4
32	to_89	from_15
32	to_89	from_3
32	to_89	from_21
32	to_89	from_7
32	to_89	from_19
32	to_89	from_20
41	to_90	from_11
41	to_90	from_26
41	to_90	from_36
41	to_90	from_20
41	to_90	from_38
41	to_90	from_45
41	to_90	from_37
41	to_90	from_7
41	to_90	from_76
41	to_90	from_68
41	to_90	from_16
39	to_91	from_41
39	to_91	from_87
39	to_91	from_83
39	to_91	from_69
31	to_92	from_41
31	to_92	from_88
44	to_93	from_41
44	to_93	from_42
44	to_93	from_88
38	to_94	from_34
38	to_94	from_10
38	to_94	from_6
38	to_94	from_45
38	to_94	from_37
38	to_94	from_36
38	to_94	from_31
38	to_94	from_35
38	to_94	from_16
38	to_94	from_52
38	to_94	from_11
38	to_94	from_49
38	to_94	from_7
38	to_94	from_3
68	to_95	from_17
68	to_95	from_55
68	to_95	from_4
68	to_95	from_45
68	to_95	from_37
68	to_95	from_64
68	to_95	from_33
68	to_95	from_36
68	to_95	from_32
68	to_95	from_43
68	to_95	from_11
68	to_95	from_14
